Time,Heading angle,CoG position/X,CoG position/Y,CoG position/Yaw,CoG Acceleration/X,CoG Acceleration/Y,Speed/X,Speed/Y,Slip angle
s,бу,m,m,бу,m/s?,m/s?,km/h,km/h,бу
10.0025,-179.794,-162.113,-104.062,-179.701,0.410167,-0.0417594,21.0512,-0.0339962,-0.092518
10.102,-179.834,-162.697,-104.064,-179.742,0.401076,-0.0423096,21.1984,-0.0341692,-0.0923426
10.202,-179.875,-163.288,-104.065,-179.782,0.425312,-0.0428559,21.3437,-0.0343321,-0.0921509
10.3015,-179.915,-163.88,-104.066,-179.823,0.396359,-0.0434236,21.4898,-0.0344981,-0.091967
10.4025,-179.957,-164.485,-104.067,-179.865,0.418866,-0.0375606,21.6396,-0.0345763,-0.0915371
10.502,-179.995,-165.085,-104.067,-179.906,0.372463,-0.0424766,21.7817,-0.0340723,-0.0896143
10.602,-180.033,-165.699,-104.067,-179.947,3.64313,-0.0472979,22.6686,-0.0338095,-0.085456
10.702,-180.073,-166.344,-104.066,-179.99,2.21652,-0.0533183,23.7112,-0.0345078,-0.0834617
10.802,-180.119,-167.013,-104.065,179.966,1.28382,-0.056492,24.3254,-0.0359588,-0.0847626
10.9015,-180.165,-167.687,-104.064,179.921,-0.467933,-0.0537896,24.3623,-0.0366541,-0.0862311
11.002,-180.211,-168.365,-104.061,179.876,-0.51032,-0.0523786,24.1823,-0.0365245,-0.0865294
11.102,-180.256,-169.034,-104.059,179.83,-0.499422,-0.0518617,24.0006,-0.0362919,-0.0866049
11.202,-180.301,-169.698,-104.055,179.786,-0.4941,-0.0512519,23.822,-0.0361327,-0.0868567
11.3015,-180.346,-170.354,-104.052,179.741,-0.494673,-0.050482,23.645,-0.03599,-0.087157
11.4015,-180.391,-171.008,-104.048,179.697,-0.496269,-0.0497036,23.4667,-0.0358291,-0.0874264
11.5015,-180.435,-171.658,-104.043,179.653,-0.49788,-0.0489468,23.2877,-0.0356584,-0.0876785
11.6015,-180.479,-172.302,-104.038,179.609,-0.499709,-0.0481985,23.1082,-0.0354837,-0.087927
11.7015,-180.522,-172.941,-104.032,179.566,-0.50163,-0.0474518,22.928,-0.0353061,-0.0881753
11.802,-180.566,-173.579,-104.026,179.523,-0.503642,-0.0467021,22.7462,-0.0351241,-0.0884227
11.9025,-180.583,-174.211,-104.02,179.482,-0.505442,0.0914881,22.5636,-0.0259476,-0.0658496
12.002,-180.443,-174.832,-104.014,179.492,-0.508581,0.163979,22.3819,0.0254038,0.0649106
12.1015,-180.325,-175.448,-104.01,179.545,-0.510531,0.0937066,22.1994,0.0502461,0.129533
12.2015,-180.261,-176.062,-104.007,179.603,-0.512377,0.051573,22.0154,0.0522172,0.135813
12.3015,-180.212,-176.671,-104.004,179.661,-0.51462,0.0540797,21.8306,0.0483874,0.126933
12.402,-180.156,-177.278,-104.002,179.719,-0.516956,0.0597042,21.644,0.0472666,0.125057
12.502,-180.098,-177.877,-104.001,179.776,-0.519332,0.0587649,21.4575,0.0472768,0.126171
12.602,-180.042,-178.47,-104,179.832,-0.521686,0.0532635,21.2702,0.0466194,0.125515
12.7015,-179.989,-179.055,-104,179.887,-0.524103,0.0539495,21.0829,0.0457793,0.12435
